,Score
0,2.0
1,1.25
2,0.625
3,0.0
4,1.3
5,0.0
6,1.6666666666666667
7,0.3333333333333333
8,2.0
9,1.3333333333333333
10,1.1875
11,1.5555555555555554
12,0.0
13,1.3333333333333333
14,1.111111111111111
15,0.7083333333333334
16,1.2962962962962965
17,2.0
18,1.75
19,1.5
20,1.3333333333333333
21,2.0
22,1.5
23,0.0
24,1.875
25,1.3333333333333333
26,1.0
27,2.0
28,1.5
29,1.625
30,1.625
31,1.0
32,2.0
33,0.0
34,0.0
35,1.225
36,1.0
37,1.75
38,1.375
39,2.0
40,0.3333333333333333
41,2.0
42,2.0
43,1.0
44,1.0
45,2.0
46,1.0
47,1.5
48,1.25
49,1.6
50,0.9791666666666666
51,1.5
52,0.6666666666666666
53,0.0
54,1.125
55,1.75
56,0.0
57,2.0
58,0.0
59,2.0
60,0.625
61,2.0
62,0.8
63,2.0
64,0.5
65,2.0
66,0.0
67,0.6666666666666666
68,1.0
69,1.2
70,1.0
71,1.0
72,0.0
73,1.0
74,0.8125
75,1.5
76,1.6666666666666667
77,0.0
78,1.3571428571428572
79,1.125
80,0.9285714285714286
81,1.1607142857142856
82,0.4
83,0.6458333333333333
84,1.4
85,1.0
86,1.625
87,0.0
88,1.0
89,0.0
90,1.625
91,2.0
92,0.0
93,1.0
94,1.225
95,0.0
96,0.6666666666666666
97,0.0
98,1.3333333333333333
99,0.625
100,2.0
101,1.0
102,1.5
103,1.0
104,1.3333333333333333
105,2.0
106,0.0
107,1.0
108,1.0
109,1.0
110,0.75
111,1.1666666666666667
112,1.25
113,1.2
114,1.25
115,1.0
116,1.3333333333333333
117,2.0
118,2.0
119,0.0
120,1.3333333333333333
121,1.0
122,0.9583333333333333
123,0.0
124,1.3125
125,2.0
126,1.1666666666666667
127,1.125
128,1.4
129,0.5
130,0.6666666666666666
131,1.0
132,1.1428571428571428
133,1.6
134,0.6666666666666666
135,0.0
136,1.0
137,2.0
138,1.5
139,1.6666666666666667
140,1.0
141,0.9032258064516128
142,0.8181818181818182
143,1.5
144,1.0
145,1.0
146,1.0
147,1.0
148,0.0
149,1.0
150,1.5
151,1.5
152,0.0
153,2.0
154,2.0
155,0.7083333333333334
156,1.2
157,1.0
158,1.0
159,0.0
160,1.2916666666666665
161,1.0714285714285714
162,0.8571428571428571
163,1.0
164,0.6666666666666666
165,0.9404761904761905
166,0.0
167,1.5
168,1.0
169,1.2361111111111112
170,2.0
171,2.0
172,1.3333333333333333
173,1.3333333333333333
174,1.0
175,0.0
176,0.0
177,0.0
178,0.6666666666666666
179,2.0
180,0.0
181,0.6666666666666666
182,0.0
183,1.375
184,0.5714285714285714
185,0.0
186,0.8
187,1.2
188,0.8
189,0.0
190,0.75
191,1.0
192,0.0
193,2.0
194,1.3333333333333333
195,1.3333333333333333
196,1.5555555555555556
197,0.0
198,1.5
199,1.6666666666666667
200,2.0
201,0.0
202,1.0
203,1.0
204,2.0
205,0.75
206,1.1666666666666667
207,1.0376984126984128
208,0.5
209,0.96
210,1.4545454545454546
211,0.75
212,1.0
213,1.5
214,0.8
215,1.25
216,1.0
217,0.5
218,1.5
219,1.1435185185185186
220,1.625
221,1.5
222,2.0
223,1.25
224,0.75
225,0.0
226,1.0
227,1.125
228,2.0
229,1.0464285714285715
230,1.6
231,1.4444444444444444
232,1.52
233,1.7
234,1.2222222222222223
235,1.0
236,0.875
237,1.4375
238,0.7777777777777777
239,1.368421052631579
240,1.4
241,1.3333333333333333
242,0.5714285714285714
243,0.6666666666666666
244,0.3333333333333333
245,1.0
246,2.0
247,1.2916666666666665
248,1.0486111111111112
249,0.0
250,2.0
251,1.2
252,1.4107142857142856
253,1.0
254,1.75
255,0.75
256,1.375
257,1.6363636363636365
258,1.1538461538461535
259,1.4583333333333333
260,1.75
261,1.5
262,1.8333333333333333
263,0.6388888888888888
264,0.3636363636363636
265,1.0
266,0.6666666666666666
267,2.0
268,1.0
269,2.0
270,0.8181818181818182
271,1.0833333333333333
272,0.6923076923076923
273,0.8275862068965517
274,1.0
275,0.8
276,1.8333333333333333
277,0.8181818181818182
278,0.9
279,1.3333333333333333
280,1.5
281,1.7666666666666666
282,1.5714285714285714
283,1.2857142857142858
284,1.2142857142857142
285,0.5
286,1.5666666666666667
287,1.5
288,1.0
289,1.3333333333333333
290,1.222222222222222
291,1.2
292,0.0
293,0.75
294,1.0
295,0.3333333333333333
296,1.35
297,1.619047619047619
298,0.8888888888888888
299,1.75
300,0.6031746031746031
301,1.6666666666666667
302,1.1666666666666667
303,1.2142857142857142
304,0.8235294117647058
305,0.9417989417989419
306,1.2222222222222223
307,1.1333333333333333
308,1.1111111111111112
309,1.0
310,1.0
311,1.9090909090909087
312,1.5
313,1.6666666666666667
314,1.6
315,1.3098290598290598
316,0.8
317,1.7
318,0.8333333333333334
319,1.3333333333333333
320,1.4285714285714286
321,0.9090909090909092
322,1.0
323,1.181818181818182
324,1.0520833333333333
325,1.2
326,0.4615384615384615
327,1.5
328,0.6666666666666666
329,0.6309523809523809
330,0.5
331,1.3333333333333333
332,0.3333333333333333
333,1.3977272727272727
334,1.3333333333333333
335,0.75
336,1.0
337,1.2222222222222223
338,1.5625
339,0.7727272727272727
340,0.9444444444444443
341,1.0
342,0.6470588235294118
343,1.1428571428571428
344,0.625
345,1.142857142857143
346,1.125
347,0.6666666666666666
348,1.4
349,1.25
350,1.6111111111111112
351,1.2
352,1.0
353,1.7142857142857142
354,1.4
355,0.9333333333333332
356,0.6666666666666666
357,1.6
358,1.6666666666666667
359,0.8534798534798534
360,1.0
361,1.5
362,0.0
363,1.1
364,1.1666666666666667
365,1.5
366,1.3333333333333333
367,1.5
368,1.5
369,1.2249999999999999
370,0.4545454545454545
371,0.9166666666666666
372,0.5
373,0.5714285714285715
374,1.2857142857142858
375,0.0
376,1.3333333333333333
377,0.6666666666666666
378,1.1666666666666667
379,1.0
380,1.3333333333333333
381,1.1515151515151516
382,0.8571428571428571
383,0.2727272727272727
384,1.2
385,1.0
386,1.388888888888889
387,1.4
388,1.5
389,2.0
390,1.0
391,1.4444444444444444
392,0.0
393,2.0
394,1.5
395,0.1111111111111111
396,0.7169312169312169
397,1.0714285714285714
398,1.0
399,0.6612903225806452
400,1.8571428571428568
401,1.5555555555555556
402,0.8777777777777778
403,2.0
404,0.6666666666666666
